ID,y
1,82.515434
2,97.188736
3,82.55417
4,76.55217
5,112.84658
8,91.215836
10,100.5293
11,94.91396
12,117.14091
14,95.58002
15,115.96618
16,105.27667
17,100.82951
19,90.767456
20,101.12899
21,105.24302
22,118.42909
23,101.43844
26,95.71351
28,96.375534
29,101.43844
33,101.43844
35,94.492966
41,100.74108
42,94.538605
43,113.729774
45,102.5502
46,100.150665
51,94.51026
53,83.61964
55,109.48762
56,103.88861
57,109.84044
58,98.48
59,104.0653
63,105.79687
64,94.632416
65,101.21461
69,97.6982
71,99.03927
72,104.68605
73,97.45084
76,105.096565
77,96.09816
78,116.142
82,94.430176
83,101.21461
84,100.51904
85,106.8605
87,110.48297
88,100.74108
89,110.62577
91,98.18535
93,102.214005
94,104.04414
95,100.28356
96,110.907906
97,95.98004
98,110.181145
99,98.25304
101,105.76868
103,110.62577
104,93.357765
105,109.31881
110,96.786896
111,102.07875
113,105.19427
114,96.767426
115,111.15183
117,110.62577
120,95.72673
121,112.93858
122,94.47765
123,106.008705
126,108.34142
132,109.62764
135,111.24733
137,102.322624
138,94.92474
140,103.465225
142,108.91365
144,110.579506
148,91.680244
149,113.7697
155,102.67004
156,111.46355
157,95.98004
162,116.08085
163,95.73868
167,94.65113
172,113.729774
179,107.63536
180,94.99932
181,107.96127
182,96.85407
183,110.62577
185,110.62577
187,107.40531
188,92.85532
189,97.23058
191,92.86
192,103.26933
193,93.48443
194,107.97611
195,94.49199
196,99.48596
198,109.783134
199,110.76797
201,100.875565
204,95.19356
205,106.57782
206,106.65109
210,96.703156
211,105.76868
216,111.559135
219,117.14091
220,93.49602
221,109.27737
226,107.96127
227,92.728134
228,110.04543
230,109.40569
231,95.98004
235,118.42909
236,97.94932
238,111.55432
242,104.18705
243,93.94261
244,80.55337
245,110.681786
247,118.452545
248,94.927765
249,91.562675
250,113.37306
251,97.94932
253,118.42909
254,95.466606
256,95.16292
257,91.99425
258,109.364105
259,96.65965
262,91.35386
266,101.430466
267,113.60656
272,103.823944
273,110.62577
275,94.48286
276,108.99936
279,92.42773
280,101.21461
283,92.75982
285,109.70905
288,110.62577
289,108.97293
290,101.421234
291,94.961525
292,105.22844
293,106.439125
296,93.95816
297,105.458336
298,115.90046
299,94.02955
304,91.72699
305,87.18129
306,94.58259
307,109.03821
311,103.98052
313,109.27947
314,92.21731
316,109.21462
324,110.97699
327,99.14076
329,92.83679
330,109.73183
337,97.73632
338,95.00481
339,98.78157
340,93.28433
343,93.26888
345,115.96618
346,96.57941
347,112.81648
349,110.53899
350,95.26701
352,102.973076
353,92.10405
354,90.93857
357,95.73318
358,108.02831
362,108.630745
364,104.604546
365,101.40287
366,102.74227
367,106.90888
368,93.9465
370,80.621925
373,98.01461
377,93.503136
378,107.81822
382,105.096565
384,110.18354
390,96.42196
392,112.51955
393,112.266815
395,94.07322
396,97.04624
399,80.42993
406,109.27947
408,109.27947
409,95.5075
410,80.28835
412,113.007805
413,89.227905
419,101.002754
420,106.061295
421,89.61468
430,105.86856
434,93.53462
436,94.87047
437,101.8063
438,90.29307
439,111.06478
440,100.6845
443,101.42781
446,95.19356
448,93.05895
452,94.31431
453,108.56806
457,99.94674
458,94.76162
459,114.54208
460,103.30311
462,104.023254
464,101.04245
465,117.14091
467,113.14648
471,107.35955
472,76.540184
473,105.99266
475,96.068855
480,102.169304
488,105.97694
490,109.03821
491,104.70637
492,82.66946
493,97.96281
497,94.961784
498,108.40381
499,94.26613
500,100.42484
501,94.95798
502,112.492294
506,87.02383
510,108.39806
511,90.80103
512,93.58502
516,93.10288
518,97.82489
519,112.79009
521,91.50447
522,111.61666
526,114.48805
529,107.30106
532,111.83094
533,94.65884
536,112.143036
537,94.48664
539,95.01257
540,106.031784
541,96.77292
543,95.896736
546,110.33206
547,98.44326
548,91.038956
551,94.654106
552,107.37534
556,101.215034
557,101.13109
558,106.90888
559,93.264565
560,105.77138
562,105.37598
566,98.53601
570,108.40381
571,101.8063
572,101.21461
573,94.05624
575,117.14091
576,108.879715
577,95.43529
579,90.96052
580,112.546265
581,109.179474
589,109.03821
591,101.422615
593,95.152336
594,105.823074
595,95.02335
598,95.04751
602,106.955635
604,112.107254
606,107.669044
608,102.93264
609,105.76868
610,96.671585
616,108.20203
617,94.50443
618,107.47971
620,106.910995
622,102.36845
623,88.554054
624,109.49254
626,112.66318
628,112.1837
629,96.95388
630,109.40569
637,91.50166
638,100.5149
643,105.78803
645,102.169304
646,112.10642
648,94.8883
652,100.35013
653,98.89365
654,108.40381
656,111.638885
657,104.87196
659,99.841484
660,109.28672
663,92.999146
664,110.30656
666,107.126686
668,105.14394
669,93.825966
671,94.83484
675,90.274086
677,95.87007
678,107.459625
679,103.71778
682,106.729225
685,107.323715
687,96.55892
688,95.22288
693,111.61443
696,98.85997
698,94.21325
701,101.30023
704,97.84545
705,117.03018
709,104.287094
710,98.50001
711,109.12649
712,98.60355
714,110.69913
715,90.7886
716,109.03821
717,94.38779
720,115.96618
721,92.86
724,104.9254
725,95.371284
726,101.15485
728,110.80863
731,97.65123
734,111.2717
738,92.4336
745,105.67313
746,92.54853
751,78.19984
754,95.22155
756,98.908195
758,98.029366
759,109.29915
761,117.492836
766,99.81049
767,106.99694
768,88.57152
769,112.39813
770,98.15988
771,82.66946
772,108.00569
773,95.88754
774,103.32598
776,110.032036
777,104.38782
780,113.729774
782,106.01604
787,102.98624
788,95.01257
792,90.23413
793,113.570694
798,109.71403
800,91.84401
806,109.03821
809,110.50939
811,107.34144
812,95.597176
814,117.14091
816,108.26987
817,92.779686
818,108.30718
820,99.469604
823,95.14376
829,94.072945
830,112.74007
831,92.32756
834,109.768524
839,103.516136
841,83.39844
844,104.45786
845,94.83585
848,91.63842
850,117.7565
851,106.61242
852,96.71151
854,93.38307
855,104.72648
856,110.97241
859,102.16594
861,103.32598
864,92.692924
865,104.2459
866,91.85998
867,98.323105
869,96.47346
871,92.354004
872,109.03821
882,102.90963
883,93.53462
885,94.21315
888,99.17996
893,107.30629
901,107.66908
903,104.69062
904,93.05486
905,108.424965
910,99.85273
911,112.65389
914,111.66299
918,107.14042
921,91.39358
928,97.07934
929,109.119865
932,103.686775
933,95.923454
934,99.85273
935,109.00597
937,79.61235
939,94.37583
940,105.15448
941,100.231964
942,105.41306
943,92.644684
944,104.91247
947,109.03821
949,108.9748
951,102.029015
952,94.48877
953,104.69062
954,76.73011
957,110.22206
959,89.50901
960,110.508156
963,117.14091
965,109.03821
967,108.45062
971,94.858864
972,77.18162
973,91.553696
974,110.46722
975,99.8531
978,106.59056
980,96.27862
981,93.97899
984,111.03963
986,99.85273
988,88.57152
989,107.26404
990,106.62354
992,107.66908
996,103.415955
999,109.32864
1000,103.46664
1001,104.2459
1002,90.176056
1003,110.032036
1004,90.264046
1008,110.345566
1009,102.94069
1010,107.13256
1012,110.06535
1013,94.501236
1014,107.41659
1015,94.84266
1016,116.79096
1019,93.52966
1020,107.91621
1021,99.85273
1022,98.41679
1024,99.85273
1025,92.3405
1027,96.84018
1028,110.342316
1029,98.62384
1030,99.78851
1033,110.24845
1036,102.083275
1037,107.58519
1038,91.21951
1042,94.37583
1043,107.5294
1044,95.9416
1045,110.43091
1047,115.150024
1050,95.021866
1051,108.28277
1054,94.76162
1056,93.97899
1057,95.11469
1059,93.48151
1062,105.26228
1063,100.97665
1064,93.97899
1066,93.865295
1070,113.32515
1076,109.65651
1077,98.91537
1078,111.04788
1080,108.44388
1082,100.58699
1083,99.51247
1089,106.00608
1091,99.17996
1093,96.34826
1097,94.604965
1099,97.520004
1101,99.72693
1103,100.72339
1104,111.150085
1106,106.48219
1109,93.22493
1110,109.83815
1111,107.31437
1112,109.901054
1114,94.51026
1116,96.24047
1117,108.70035
1120,101.11413
1124,111.13978
1125,96.10074
1126,113.60747
1134,107.255516
1137,90.99198
1138,111.41822
1144,110.787056
1145,94.977
1146,92.21731
1148,100.96748
1150,98.92202
1152,104.45786
1153,100.98935
1154,106.758125
1155,95.18406
1157,97.690735
